tracado_via
Reta
Curva
Não Informado
Interseção de vias
Rotatória
Desvio Temporário
Interseção de Vias
Reta;Declive
Retorno Regulamentado
Reta;Aclive
Curva;Declive
Declive
Aclive;Reta
Declive;Reta
Aclive
Viaduto
Reta;Interseção de Vias
Declive;Curva
Curva;Aclive
Ponte
Interseção de Vias;Reta
Aclive;Curva
Reta;Em Obras
Reta;Retorno Regulamentado
Reta;Ponte
Em Obras;Reta
Retorno Regulamentado;Reta
Em Obras
Ponte;Reta
Curva;Interseção de Vias
Reta;Viaduto
Túnel
Reta;Rotatória
Interseção de Vias;Rotatória
Interseção de Vias;Curva
Viaduto;Reta
Rotatória;Reta
Curva;Viaduto
Rotatória;Interseção de Vias
Curva;Retorno Regulamentado
Curva;Em Obras
Retorno Regulamentado;Curva
Curva;Rotatória
Viaduto;Curva
Interseção de Vias;Viaduto
Retorno Regulamentado;Viaduto;Interseção de Vias
Desvio Temporário;Em Obras;Aclive
Declive;Desvio Temporário;Reta;Em Obras
Rotatória;Declive;Interseção de Vias
Curva;Viaduto;Interseção de Vias
Interseção de Vias;Viaduto;Curva
Reta;Interseção de Vias;Desvio Temporário
Retorno Regulamentado;Em Obras;Curva
Retorno Regulamentado;Viaduto;Curva
Aclive;Interseção de Vias;Retorno Regulamentado
Rotatória;Interseção de Vias;Em Obras
Em Obras;Declive;Desvio Temporário
Viaduto;Ponte
Reta;Desvio Temporário;Declive
Curva;Retorno Regulamentado;Viaduto
Aclive;Ponte;Curva
Reta;Retorno Regulamentado;Interseção de Vias;Rotatória
Interseção de Vias;Rotatória;Aclive
Rotatória;Em Obras;Reta
Em Obras;Rotatória;Reta
Em Obras;Interseção de Vias;Curva
Rotatória;Curva;Aclive
Rotatória;Interseção de Vias;Retorno Regulamentado;Reta
Curva;Rotatória;Retorno Regulamentado
Interseção de Vias;Reta;Retorno Regulamentado;Rotatória
Retorno Regulamentado;Curva;Interseção de Vias
Desvio Temporário;Em Obras;Declive
Reta;Declive;Interseção de Vias;Rotatória
Retorno Regulamentado;Túnel
Rotatória;Aclive;Curva
Interseção de Vias;Reta;Ponte
Declive;Desvio Temporário;Em Obras
Em Obras;Interseção de Vias;Desvio Temporário
Desvio Temporário;Em Obras;Reta;Aclive
Interseção de Vias;Retorno Regulamentado;Declive;Curva
Interseção de Vias;Reta;Rotatória;Declive
Curva;Rotatória;Em Obras
Declive;Interseção de Vias;Em Obras;Reta
Em Obras;Declive;Interseção de Vias;Reta
Reta;Em Obras;Aclive;Interseção de Vias
Rotatória;Em Obras;Retorno Regulamentado;Interseção de Vias
Viaduto;Declive;Reta;Em Obras
Interseção de Vias;Retorno Regulamentado;Declive;Reta
Rotatória;Reta;Aclive
Interseção de Vias;Viaduto;Reta;Aclive
Declive;Interseção de Vias;Em Obras
Desvio Temporário;Declive;Em Obras;Reta
Reta;Desvio Temporário;Ponte
Curva;Declive;Rotatória;Interseção de Vias
Em Obras;Rotatória;Viaduto
Aclive;Curva;Rotatória
Desvio Temporário;Curva;Aclive;Em Obras
Interseção de Vias;Em Obras;Rotatória
Reta;Declive;Retorno Regulamentado;Interseção de Vias
Aclive;Desvio Temporário
Aclive;Viaduto;Reta;Em Obras
Viaduto;Curva;Interseção de Vias;Rotatória
Curva;Aclive;Viaduto;Retorno Regulamentado
Reta;Interseção de Vias;Retorno Regulamentado;Aclive
Em Obras;Interseção de Vias;Rotatória
Em Obras;Declive;Curva;Desvio Temporário
Rotatória;Reta;Interseção de Vias;Declive
Desvio Temporário;Em Obras;Viaduto
Em Obras;Viaduto;Aclive
Declive;Interseção de Vias;Viaduto
Curva;Interseção de Vias;Retorno Regulamentado;Declive
Rotatória;Declive;Reta;Interseção de Vias
Reta;Desvio Temporário;Em Obras;Declive
Viaduto;Reta;Aclive;Em Obras
Rotatória;Desvio Temporário
Aclive;Reta;Desvio Temporário
Viaduto;Curva;Rotatória
Em Obras;Rotatória;Curva
Interseção de Vias;Curva;Declive;Viaduto
Em Obras;Interseção de Vias;Curva;Rotatória
Declive;Viaduto;Retorno Regulamentado
Reta;Em Obras;Desvio Temporário;Ponte
Ponte;Em Obras;Curva;Declive;Desvio Temporário
Viaduto;Interseção de Vias;Reta;Declive
Declive;Curva;Rotatória
Interseção de Vias;Retorno Regulamentado;Rotatória
Declive;Desvio Temporário;Em Obras;Curva
Viaduto;Retorno Regulamentado;Interseção de Vias
Declive;Rotatória;Retorno Regulamentado
Retorno Regulamentado;Interseção de Vias;Em Obras
Interseção de Vias;Aclive;Viaduto
Curva;Declive;Retorno Regulamentado;Viaduto
Desvio Temporário;Declive
Reta;Interseção de Vias;Rotatória;Viaduto
Interseção de Vias;Retorno Regulamentado;Desvio Temporário;Em Obras
Aclive;Reta;Interseção de Vias;Em Obras
Curva;Viaduto;Interseção de Vias;Declive
Desvio Temporário;Interseção de Vias;Em Obras
Interseção de Vias;Retorno Regulamentado;Declive
Reta;Declive;Interseção de Vias;Viaduto
Reta;Interseção de Vias;Rotatória;Retorno Regulamentado
Interseção de Vias;Reta;Viaduto;Declive
Reta;Aclive;Interseção de Vias;Viaduto
Rotatória;Declive;Reta
Retorno Regulamentado;Interseção de Vias;Viaduto
Reta;Declive;Túnel
Desvio Temporário;Declive;Em Obras
Reta;Aclive;Rotatória
Reta;Interseção de Vias;Em Obras;Declive
Em Obras;Declive;Desvio Temporário;Reta
Desvio Temporário;Declive;Curva
Túnel;Interseção de Vias
Declive;Em Obras;Desvio Temporário;Reta
Viaduto;Interseção de Vias;Declive
Reta;Interseção de Vias;Retorno Regulamentado;Rotatória
Declive;Interseção de Vias;Curva;Retorno Regulamentado
Curva;Em Obras;Interseção de Vias
Rotatória;Reta;Em Obras
Declive;Retorno Regulamentado;Interseção de Vias
Retorno Regulamentado;Declive;Interseção de Vias
Rotatória;Interseção de Vias;Declive
Declive;Desvio Temporário;Em Obras;Reta
Reta;Declive;Interseção de Vias;Retorno Regulamentado
Declive;Em Obras;Viaduto
Desvio Temporário;Declive;Reta;Em Obras
Em Obras;Aclive;Curva;Desvio Temporário
Viaduto;Reta;Rotatória
Túnel;Reta;Declive
Retorno Regulamentado;Reta;Rotatória
Declive;Em Obras;Desvio Temporário
Reta;Retorno Regulamentado;Aclive;Interseção de Vias
Declive;Desvio Temporário;Reta
Interseção de Vias;Declive;Rotatória
Ponte;Em Obras
Reta;Em Obras;Desvio Temporário;Aclive
Viaduto;Rotatória;Reta
Interseção de Vias;Reta;Aclive;Viaduto
Rotatória;Declive;Curva;Interseção de Vias
Reta;Viaduto;Interseção de Vias;Rotatória
Interseção de Vias;Viaduto;Curva;Aclive
Rotatória;Viaduto;Interseção de Vias;Reta
Reta;Aclive;Retorno Regulamentado;Interseção de Vias
Em Obras;Interseção de Vias;Aclive
Em Obras;Interseção de Vias;Declive
Curva;Em Obras;Ponte
Rotatória;Em Obras;Interseção de Vias;Viaduto
Viaduto;Túnel
Aclive;Interseção de Vias;Rotatória;Reta
Declive;Rotatória;Retorno Regulamentado;Reta;Interseção de Vias
Viaduto;Aclive;Interseção de Vias
Desvio Temporário;Reta;Em Obras;Aclive
Curva;Aclive;Rotatória;Interseção de Vias
Viaduto;Interseção de Vias;Em Obras
Desvio Temporário;Aclive;Em Obras
Curva;Ponte;Em Obras
Rotatória;Aclive;Retorno Regulamentado;Curva
Interseção de Vias;Ponte;Reta
Declive;Curva;Em Obras;Desvio Temporário
Em Obras;Aclive;Rotatória;Reta
Rotatória;Aclive;Curva;Viaduto
Curva;Retorno Regulamentado;Interseção de Vias;Declive
Interseção de Vias;Viaduto;Declive
Em Obras;Reta;Declive;Desvio Temporário
Túnel;Reta;Interseção de Vias
Desvio Temporário;Em Obras;Viaduto;Interseção de Vias
Em Obras;Desvio Temporário;Curva;Declive;Interseção de Vias
Reta;Em Obras;Declive;Interseção de Vias
Ponte;Reta;Declive;Desvio Temporário;Em Obras
Em Obras;Curva;Ponte
Ponte;Aclive;Curva
Em Obras;Retorno Regulamentado;Rotatória;Interseção de Vias
Declive;Interseção de Vias;Em Obras;Curva
Retorno Regulamentado;Rotatória;Curva
Viaduto;Curva;Ponte;Interseção de Vias
Em Obras;Rotatória;Viaduto;Curva
Curva;Rotatória;Aclive;Interseção de Vias
Interseção de Vias;Rotatória;Retorno Regulamentado;Curva
Aclive;Interseção de Vias;Curva;Retorno Regulamentado
Interseção de Vias;Em Obras;Reta;Retorno Regulamentado
Declive;Em Obras;Viaduto;Reta
Rotatória;Curva;Declive;Retorno Regulamentado
Declive;Retorno Regulamentado;Reta;Interseção de Vias
Desvio Temporário;Aclive;Reta
Aclive;Reta;Em Obras;Desvio Temporário
Reta;Interseção de Vias;Em Obras;Desvio Temporário
Reta;Declive;Rotatória;Viaduto
Retorno Regulamentado;Declive;Interseção de Vias;Reta
Retorno Regulamentado;Aclive;Interseção de Vias;Rotatória;Curva
Ponte;Interseção de Vias;Reta
Rotatória;Reta;Declive;Interseção de Vias;Viaduto
Reta;Interseção de Vias;Aclive;Viaduto
Curva;Aclive;Desvio Temporário;Em Obras
Túnel;Curva;Retorno Regulamentado
Desvio Temporário;Ponte;Em Obras;Reta
Viaduto;Aclive;Interseção de Vias;Curva;Retorno Regulamentado
Interseção de Vias;Retorno Regulamentado;Em Obras
Interseção de Vias;Rotatória;Viaduto;Curva
Em Obras;Declive;Reta;Viaduto
Interseção de Vias;Reta;Em Obras;Viaduto
Interseção de Vias;Reta;Em Obras;Aclive;Retorno Regulamentado
Aclive;Reta;Retorno Regulamentado;Interseção de Vias
Curva;Declive;Viaduto;Interseção de Vias
Ponte;Curva;Em Obras;Aclive
Em Obras;Declive;Reta;Interseção de Vias
Reta;Interseção de Vias;Rotatória;Aclive
Retorno Regulamentado;Aclive;Reta;Em Obras
Em Obras;Declive;Desvio Temporário;Curva
Reta;Desvio Temporário;Em Obras;Declive;Viaduto
Reta;Desvio Temporário;Em Obras;Viaduto
Em Obras;Ponte;Desvio Temporário
Retorno Regulamentado;Declive;Viaduto;Reta
Reta;Em Obras;Rotatória;Retorno Regulamentado
Aclive;Rotatória;Retorno Regulamentado;Reta
Túnel;Curva;Declive
Ponte;Reta;Desvio Temporário
Retorno Regulamentado;Aclive;Interseção de Vias;Reta
Curva;Retorno Regulamentado;Declive;Em Obras
Declive;Reta;Em Obras;Viaduto
Em Obras;Curva;Interseção de Vias
Declive;Desvio Temporário;Curva
Interseção de Vias;Retorno Regulamentado;Túnel
Interseção de Vias;Aclive;Rotatória
Aclive;Em Obras;Interseção de Vias;Curva
Interseção de Vias;Retorno Regulamentado;Aclive
Em Obras;Retorno Regulamentado;Curva
Desvio Temporário;Em Obras;Reta;Ponte
Em Obras;Interseção de Vias;Retorno Regulamentado
Interseção de Vias;Reta;Viaduto;Retorno Regulamentado
Interseção de Vias;Viaduto;Retorno Regulamentado;Curva;Ponte
Desvio Temporário;Reta;Ponte;Em Obras
Viaduto;Curva;Declive;Interseção de Vias
Reta;Retorno Regulamentado;Ponte
Declive;Curva;Em Obras;Retorno Regulamentado
Interseção de Vias;Declive;Retorno Regulamentado;Curva
Desvio Temporário;Curva;Em Obras;Aclive
Reta;Interseção de Vias;Declive;Em Obras
Desvio Temporário;Retorno Regulamentado;Interseção de Vias;Em Obras
Curva;Túnel;Declive
Viaduto;Reta;Aclive;Interseção de Vias
Em Obras;Reta;Interseção de Vias;Declive
Rotatória;Retorno Regulamentado;Interseção de Vias;Declive
Rotatória;Interseção de Vias;Em Obras;Reta
Retorno Regulamentado;Reta;Em Obras;Rotatória
Viaduto;Retorno Regulamentado;Interseção de Vias;Em Obras
Interseção de Vias;Rotatória;Reta;Em Obras
Aclive;Túnel;Reta
Retorno Regulamentado;Curva;Ponte
Interseção de Vias;Retorno Regulamentado;Reta;Viaduto
Interseção de Vias;Túnel;Reta;Declive
Em Obras;Reta;Desvio Temporário;Aclive
Ponte;Declive;Interseção de Vias
Declive;Reta;Interseção de Vias;Viaduto
Declive;Ponte;Em Obras
Interseção de Vias;Declive;Em Obras
Declive;Curva;Em Obras;Ponte
Curva;Viaduto;Retorno Regulamentado;Rotatória
Declive;Viaduto;Reta;Interseção de Vias;Rotatória
Curva;Desvio Temporário;Em Obras;Ponte
Em Obras;Reta;Ponte;Desvio Temporário
Reta;Declive;Desvio Temporário;Em Obras
Declive;Em Obras;Interseção de Vias;Rotatória;Desvio Temporário
Interseção de Vias;Viaduto;Reta;Retorno Regulamentado
Interseção de Vias;Reta;Declive;Rotatória;Em Obras
Reta;Túnel;Em Obras;Desvio Temporário
Retorno Regulamentado;Reta;Em Obras;Desvio Temporário;Interseção de Vias
Viaduto;Retorno Regulamentado;Reta;Aclive
Aclive;Interseção de Vias;Viaduto;Rotatória
Túnel;Interseção de Vias;Viaduto;Aclive;Reta
Aclive;Interseção de Vias;Reta;Retorno Regulamentado
Desvio Temporário;Túnel;Interseção de Vias;Em Obras;Ponte;Declive;Retorno Regulamentado;Viaduto
Retorno Regulamentado;Curva;Declive;Viaduto
Aclive;Curva;Interseção de Vias;Viaduto
Desvio Temporário;Em Obras;Viaduto;Curva
Aclive;Interseção de Vias;Viaduto;Reta
Em Obras;Retorno Regulamentado;Curva;Rotatória
Em Obras;Curva;Desvio Temporário;Interseção de Vias;Rotatória
Declive;Curva;Interseção de Vias;Rotatória
Aclive;Curva;Interseção de Vias;Viaduto;Rotatória
Ponte;Interseção de Vias;Rotatória;Viaduto;Retorno Regulamentado
Interseção de Vias;Rotatória;Curva;Retorno Regulamentado
Interseção de Vias;Rotatória;Reta;Em Obras;Retorno Regulamentado
Aclive;Desvio Temporário;Viaduto;Em Obras;Curva
Declive;Retorno Regulamentado;Curva;Viaduto
Túnel;Reta;Aclive
Curva;Retorno Regulamentado;Interseção de Vias;Aclive
Aclive;Em Obras;Desvio Temporário;Interseção de Vias;Curva
Viaduto;Interseção de Vias;Aclive
Interseção de Vias;Declive;Reta;Em Obras
Interseção de Vias;Viaduto;Declive;Reta
Interseção de Vias;Declive;Reta;Viaduto
Ponte;Viaduto;Curva;Interseção de Vias;Aclive
Aclive;Desvio Temporário;Em Obras;Reta
Viaduto;Em Obras;Curva
Declive;Retorno Regulamentado;Curva;Interseção de Vias
Interseção de Vias;Rotatória;Viaduto;Em Obras
Aclive;Reta;Viaduto;Rotatória
Retorno Regulamentado;Declive;Rotatória
Reta;Interseção de Vias;Viaduto;Rotatória
Aclive;Viaduto;Em Obras
Em Obras;Desvio Temporário;Interseção de Vias;Reta
Rotatória;Retorno Regulamentado;Desvio Temporário;Em Obras
Rotatória;Viaduto;Reta;Interseção de Vias
Curva;Desvio Temporário;Declive;Em Obras
Curva;Desvio Temporário;Viaduto
Declive;Curva;Interseção de Vias;Viaduto
Desvio Temporário;Reta;Interseção de Vias;Em Obras
Interseção de Vias;Em Obras;Declive;Reta
Aclive;Interseção de Vias;Rotatória;Viaduto
Aclive;Retorno Regulamentado;Curva;Interseção de Vias
Rotatória;Viaduto;Em Obras
Declive;Reta;Em Obras;Desvio Temporário
Desvio Temporário;Rotatória;Interseção de Vias;Em Obras;Retorno Regulamentado;Viaduto
Interseção de Vias;Retorno Regulamentado;Viaduto;Reta
Declive;Viaduto;Curva;Em Obras
Aclive;Retorno Regulamentado;Reta;Interseção de Vias
Ponte;Em Obras;Curva
Aclive;Em Obras;Viaduto;Reta
Interseção de Vias;Rotatória;Retorno Regulamentado;Reta
Interseção de Vias;Curva;Rotatória;Retorno Regulamentado
Reta;Rotatória;Interseção de Vias;Viaduto
Curva;Interseção de Vias;Retorno Regulamentado;Em Obras
Rotatória;Interseção de Vias;Viaduto;Retorno Regulamentado
Em Obras;Desvio Temporário;Curva;Aclive
Rotatória;Desvio Temporário;Declive;Interseção de Vias;Em Obras;Reta
Interseção de Vias;Em Obras;Desvio Temporário
Reta;Declive;Interseção de Vias;Viaduto;Em Obras
Retorno Regulamentado;Reta;Interseção de Vias;Declive
Ponte;Viaduto;Reta
Reta;Declive;Interseção de Vias;Viaduto;Retorno Regulamentado
Rotatória;Retorno Regulamentado;Viaduto
Curva;Viaduto;Rotatória;Interseção de Vias
Reta;Em Obras;Viaduto;Rotatória
Curva;Desvio Temporário;Interseção de Vias
Retorno Regulamentado;Rotatória;Interseção de Vias
Declive;Interseção de Vias;Reta;Em Obras
Em Obras;Declive;Retorno Regulamentado;Reta
Desvio Temporário;Retorno Regulamentado;Reta;Interseção de Vias;Em Obras
Retorno Regulamentado;Viaduto;Reta
Ponte;Desvio Temporário;Em Obras;Reta
Reta;Desvio Temporário;Em Obras;Declive;Interseção de Vias
Em Obras;Curva;Declive;Desvio Temporário
Em Obras;Curva;Ponte;Aclive
Rotatória;Em Obras;Interseção de Vias
Reta;Declive;Interseção de Vias;Rotatória;Retorno Regulamentado
Em Obras;Viaduto;Curva
Reta;Em Obras;Interseção de Vias;Declive
Curva;Declive;Interseção de Vias;Viaduto
Rotatória;Curva;Interseção de Vias;Retorno Regulamentado
Em Obras;Declive;Ponte
Declive;Reta;Em Obras;Ponte
